character,one_line,genre
강도영,잘생기고 여유로운데 극도로 소심한 재벌 3세,로맨스
황민재,다정한 상담사인데 자기 얘기만 나오면 화제를 돌린다,드라마
서윤아,겁쟁이 소방관인데 불 앞에서만 몸이 먼저 움직인다,액션
윤채운,냉정한 살인청부업자인데 표적이 애원하면 총을 내리고 돈을 쥐어준다,느와르
박선율,전교 1등인데 시험마다 옆 사람 답을 그대로 옮겨 적는다,학원물
정하윤,정직한 변호사인데 장례식장에서만 거짓 위로를 먼저 내뱉는다,미스터리
이도현,무적의 히어로인데 사인 요청을 받으면 손이 떨려 도망친다,히어로물
한소이,차가운 재벌 회장인데 직원 생일을 전부 몰래 챙긴다,오피스물
김태una,전설의 검사인데 실전에서 칼을 뽑지 못하고 말로 설득한다,무협
오하늘,완벽주의 아이돌인데 무대 직전에 늘 화장을 스스로 지운다,아이돌물
서지후,냉철한 형사인데 용의자가 울면 수갑을 풀어준다,수사물
문세라,다정한 국숫집 주인인데 손님 얼굴을 절대 기억하지 못한다,잔잔한드라마
백승우,전교 왕따인데 싸움만 나면 제일 먼저 상대를 감싼다,학원물
류하진,냉혹한 마피아 보스인데 부하가 다치면 직접 응급처치를 한다,느와르
강다은,모범생 반장인데 규칙을 어긴 친구를 절대 신고하지 않는다,학원물
정우빈,인기 많은 바람둥이인데 진지한 고백을 받으면 말을 더듬는다,로맨스
신아라,냉정한 외과의사인데 수술 전 항상 환자 손을 잡고 기도한다,메디컬
오세훈,겁 없는 스턴트맨인데 높은 곳에 올라가면 눈을 감고 버틴다,액션
임수정,철벽 경호원인데 담당 연예인이 울면 임무를 잊고 먼저 안아준다,오피스물
차현우,천재 해커인데 실제 컴퓨터 앞에선 자판 치는 손이 얼어붙는다,스릴러
